source_gse_id,gdtai_v3_atlas_inclusion_reason,n_cells
GDT_2020AUG_woCOV,gdtai_v3_predicted_retained,23677
GDT_2020AUG_woCOV,gold_gdT_FN_added,2227
GDTlung2023july_7p,gdtai_v3_predicted_retained,7081
GDTlung2023july_7p,gold_gdT_FN_added,8094
GSE125527,gdtai_v3_predicted_retained,2168
GSE144469,gdtai_v3_predicted_retained,6036
GSE144469,gold_gdT_FN_added,535
GSE145926,gdtai_v3_predicted_retained,330
GSE162498,gdtai_v3_predicted_retained,2081
GSE171037,gdtai_v3_predicted_retained,72
GSE178882,gdtai_v3_predicted_retained,1675
GSE188620,gdtai_v3_predicted_retained,1831
GSE190870,gdtai_v3_predicted_retained,20
GSE206325,gdtai_v3_predicted_retained,21428
GSE211504,gdtai_v3_predicted_retained,80
GSE212217,gdtai_v3_predicted_retained,6476
GSE228597,gdtai_v3_predicted_retained,8287
GSE234069,gdtai_v3_predicted_retained,262
GSE235863,gdtai_v3_predicted_retained,7724
GSE240865,gdtai_v3_predicted_retained,213
GSE243013,gdtai_v3_predicted_retained,25620
GSE243572,gdtai_v3_predicted_retained,5488
GSE243905,gdtai_v3_predicted_retained,8216
GSE252762,gdtai_v3_predicted_retained,6708
GSE254176,gdtai_v3_predicted_retained,3142
GSE254249,gdtai_v3_predicted_retained,18737
GSE267645,gdtai_v3_predicted_retained,3182
GSE287301,gdtai_v3_predicted_retained,6216
GSE287541,gdtai_v3_predicted_retained,1926
GSE301528,gdtai_v3_predicted_retained,1764
GSE308075,gdtai_v3_predicted_retained,296
GSE311112,gdtai_v3_predicted_retained,4469
HRA005041,gdtai_v3_predicted_retained,62959
HRA005041,gold_gdT_FN_added,188
MalteGDT,gdtai_v3_predicted_retained,7612
MalteGDT,gold_gdT_FN_added,188
