cohort_id,field,value,cell_count
GSE114724,diagnosis,breast_cancer,28652
GSE114724,donor_id,BC09,13968
GSE114724,donor_id,BC10,4925
GSE114724,donor_id,BC11,9759
GSE114724,library_id,GSM3148575_BC09_TUMOR1,7083
GSE114724,library_id,GSM3148576_BC09_TUMOR2,6885
GSE114724,library_id,GSM3148577_BC10_TUMOR1,4925
GSE114724,library_id,GSM3148578_BC11_TUMOR1,5219
GSE114724,library_id,GSM3148579_BC11_TUMOR2,4540
GSE114724,sample_id,BC09_TUMOR1,7083
GSE114724,sample_id,BC09_TUMOR2,6885
GSE114724,sample_id,BC10_TUMOR1,4925
GSE114724,sample_id,BC11_TUMOR1,5219
GSE114724,sample_id,BC11_TUMOR2,4540
GSE114724,source_accession,GSE114724,28652
GSE114724,source_gse_id,GSE114724,28652
GSE114724,specimen_context,primary_tumor,28652
GSE114724,tissue,breast_tumor,28652
GSE114724,tissue_harmonized,breast_tumor,28652
GSE121636_GSE121637,diagnosis,renal_clear_cell_carcinoma,18793
GSE121636_GSE121637,donor_id,GU0700,7844
GSE121636_GSE121637,donor_id,GU0715,7136
GSE121636_GSE121637,donor_id,GU0744,3813
GSE121636_GSE121637,library_id,GSM3440844_GU0700_T,3575
GSE121636_GSE121637,library_id,GSM3440845_GU0715_T,3654
GSE121636_GSE121637,library_id,GSM3440846_GU0744_T,1936
GSE121636_GSE121637,library_id,GSM3440847_GU0700_P,4269
GSE121636_GSE121637,library_id,GSM3440848_GU0715_P,3482
GSE121636_GSE121637,library_id,GSM3440849_GU0744_P,1877
GSE121636_GSE121637,sample_id,GU0700_P,4269
GSE121636_GSE121637,sample_id,GU0700_T,3575
GSE121636_GSE121637,sample_id,GU0715_P,3482
GSE121636_GSE121637,sample_id,GU0715_T,3654
GSE121636_GSE121637,sample_id,GU0744_P,1877
GSE121636_GSE121637,sample_id,GU0744_T,1936
GSE121636_GSE121637,source_accession,GSE121636,18793
GSE121636_GSE121637,source_gse_id,GSE121636,18793
GSE121636_GSE121637,specimen_context,blood,9628
GSE121636_GSE121637,specimen_context,primary_tumor,9165
GSE121636_GSE121637,tissue,blood,9628
GSE121636_GSE121637,tissue,renal_tumor,9165
GSE121636_GSE121637,tissue_harmonized,blood,9628
GSE121636_GSE121637,tissue_harmonized,renal_tumor,9165
GSE159251,diagnosis,metastatic_melanoma,68898
GSE159251,donor_id,K409,5118
GSE159251,donor_id,K411,24368
GSE159251,donor_id,K468,32809
GSE159251,donor_id,K484,6603
GSE159251,library_id,GSM4824347_melanoma_K409_blood,5118
GSE159251,library_id,GSM4824348_melanoma_K411_LN_met,3724
GSE159251,library_id,GSM4824349_melanoma_K411_blood,2500
GSE159251,library_id,GSM4824350_melanoma_K411_longitudinal_blood,18144
GSE159251,library_id,GSM4824352_melanoma_K468_subcu_met,4862
GSE159251,library_id,GSM4824354_melanoma_K468_blood,8887
GSE159251,library_id,GSM4824356_melanoma_K468_longitudinal_blood,19060
GSE159251,library_id,GSM4824358_melanoma_K484_LN_met,1857
GSE159251,library_id,GSM4824360_melanoma_K484_blood,4746
GSE159251,sample_id,melanoma_K409_blood,5118
GSE159251,sample_id,melanoma_K411_LN_met,3724
GSE159251,sample_id,melanoma_K411_blood,2500
GSE159251,sample_id,melanoma_K411_longitudinal_blood,18144
GSE159251,sample_id,melanoma_K468_blood,8887
GSE159251,sample_id,melanoma_K468_longitudinal_blood,19060
GSE159251,sample_id,melanoma_K468_subcu_met,4862
GSE159251,sample_id,melanoma_K484_LN_met,1857
