cohort_id,status,reconciliation_rows
GSE114724,ambiguous_geo_partial,1
GSE114724,resolved_geo_value_local_unresolved,2
GSE114724,resolved_verified_local,2
GSE121636_GSE121637,ambiguous_geo_partial,1
GSE121636_GSE121637,resolved_geo_value_local_unresolved,5
GSE121636_GSE121637,resolved_verified_local,2
GSE159251,resolved_geo_value_local_unresolved,4
GSE159251,resolved_verified_local,3
GSE169246,ambiguous_geo_partial,1
GSE169246,resolved_geo_value_local_unresolved,8
GSE169246,resolved_verified_local,1
GSE292700,ambiguous_geo_partial,1
GSE292700,resolved_geo_value_local_unresolved,2
GSE292700,resolved_verified_local,2
GSE292700,unavailable_in_geo,1
GSE294273_GSE294274,resolved_geo_value_local_unresolved,4
GSE294273_GSE294274,resolved_verified_local,3
GSE294273_GSE294274,unavailable_in_geo,1
GSE296954,ambiguous_geo_partial,1
GSE296954,resolved_geo_value_local_unresolved,4
GSE296954,resolved_verified_local,1
GSE296954,unavailable_in_geo,1
GSE315928,ambiguous_geo_partial,1
GSE315928,resolved_geo_value_local_unresolved,3
GSE315928,resolved_verified_local,2
GSE315928,unavailable_in_geo,1
