gene,cells_detected,keep_gene,key_tnk_gene
B2M,5922415,True,False
EEF1A1,5887297,True,False
ACTB,5874932,True,False
TMSB4X,5861971,True,False
RPL10,5851204,True,False
RPL13,5829263,True,False
RPL28,5827516,True,False
RPS12,5820975,True,False
TPT1,5810903,True,False
TMSB10,5796730,True,False
RPS27,5785694,True,False
RPS8,5783145,True,False
RPL30,5775866,True,False
RPL11,5775056,True,False
HLA-A,5774224,True,False
RPS15A,5773681,True,False
RPS19,5773381,True,False
RPL32,5773302,True,False
RPS27A,5772904,True,False
RPL19,5767916,True,False
RPS3,5763273,True,False
RPS18,5759240,True,False
HLA-C,5751906,True,False
PTMA,5748777,True,False
RPS14,5739654,True,False
RPS23,5739619,True,False
RPL34,5739064,True,False
RPS3A,5731182,True,False
RPL18A,5730178,True,False
RPS15,5728669,True,False
RPL39,5716562,True,False
EIF1,5705122,True,False
FAU,5699799,True,False
FTH1,5699042,True,False
RPL12,5698893,True,False
RPL37,5697635,True,False
RPS24,5692824,True,False
RPL7A,5689175,True,False
RPS4X,5688265,True,False
RPL18,5687928,True,False
HLA-B,5686359,True,False
RPS7,5681955,True,False
RPS6,5678944,True,False
RPS13,5677940,True,False
RPL8,5674213,True,False
RPL14,5674009,True,False
MT-CO1,5672594,True,False
RPL29,5669247,True,False
MT-CO2,5658613,True,False
RPL3,5657034,True,False
RPL41,5656366,True,False
RPS25,5656069,True,False
RPL35A,5637564,True,False
RPS2,5621474,True,False
FTL,5619303,True,False
RPL6,5619285,True,False
RPS21,5606018,True,False
MT-CO3,5605110,True,False
RPL36,5594338,True,False
PFN1,5582018,True,False
MT-CYB,5571869,True,False
RPS28,5570784,True,False
RPL15,5562180,True,False
RPS9,5553399,True,False
RPS16,5544142,True,False
RPL23A,5534602,True,False
RPL26,5534311,True,False
RPL5,5517685,True,False
NACA,5498988,True,False
RPS5,5492464,True,False
RPL24,5491996,True,False
RPL35,5488611,True,False
RPSA,5486176,True,False
RPL9,5485209,True,False
UBA52,5459525,True,False
RPL10A,5446132,True,False
MT-ATP6,5445234,True,False
MT-ND4L,5430415,True,False
RPL13A,5407861,True,False
RPL37A,5406189,True,False
RPL21,5405123,True,False
SH3BGRL3,5397858,True,False
GAPDH,5385825,True,False
UBC,5366261,True,False
ACTG1,5358699,True,False
EEF1D,5348580,True,False
CFL1,5345060,True,False
HLA-E,5344679,True,False
RPS29,5328673,True,False
RPL22,5320638,True,False
RPS26,5318917,True,False
MT-ND1,5318237,True,False
MT-ND3,5306810,True,False
SERF2,5290020,True,False
BTG1,5269629,True,False
RPL27,5261061,True,False
MT-ND4,5250294,True,False
PPIA,5231524,True,False
EEF1B2,5215711,True,False
PFDN5,5208352,True,False
DDX5,5201334,True,False
MT-ND5,5194077,True,False
RPL4,5192746,True,False
CALM1,5191122,True,False
ARHGDIB,5190620,True,False
PABPC1,5189121,True,False
VIM,5167723,True,False
MT-ND2,5142714,True,False
EEF2,5127928,True,False
PTPRC,5121357,True,False
COX4I1,5119035,True,False
BTF3,5091510,True,False
MYL6,5088888,True,False
RPL38,5085493,True,False
RPL31,5068504,True,False
HNRNPA1,5060159,True,False
CD74,5018024,True,False
RPS11,5012591,True,False
HNRNPA2B1,4995266,True,False
MYL12A,4983125,True,False
S100A6,4981837,True,False
RPL7,4962184,True,False
IFITM1,4955324,True,False
RPL36AL,4945157,True,False
RPL27A,4942559,True,False
NPM1,4928433,True,False
ITM2B,4903176,True,False
HSPA8,4900930,True,False
FXYD5,4894347,True,False
S100A4,4883155,True,False
CD52,4872839,True,False
TXNIP,4855180,True,False
HSP90AA1,4851894,True,False
JUNB,4848941,True,False
