source_gse_id,cells_before,cells_after,cells_removed,retained_fraction
GSE161918,901093,901093,0,1.0
GSE243013,766574,766574,0,1.0
GSE241783,618963,618963,0,1.0
GSE168859,564270,564240,30,0.9999468339624648
GSE254249,459556,459556,0,1.0
GSE243905,369428,369428,0,1.0
GSE212217,220612,220612,0,1.0
GSE243572,207017,207017,0,1.0
GSE139555,163970,163970,0,1.0
GSE228597,149994,149994,0,1.0
GSE144469,142069,142069,0,1.0
GSE188620,130325,130325,0,1.0
GSE221776,126178,126178,0,1.0
GSE311112,114945,114945,0,1.0
GSE308075,112645,112645,0,1.0
GSE254176,102776,102776,0,1.0
GSE267645,101374,101374,0,1.0
GSE162498,82285,82285,0,1.0
GSE168163,80998,80769,229,0.9971727696980173
GSE178882,74242,74242,0,1.0
GSE229858,65483,65483,0,1.0
GSE155223,55694,55694,0,1.0
GSE301528,50031,50031,0,1.0
GSE125527,47649,47647,2,0.9999580264013935
GSE252762,45202,45202,0,1.0
GSE155222,39138,39138,0,1.0
GSE171037,37970,37970,0,1.0
GSE211504,37432,37432,0,1.0
GSE145926,33026,33026,0,1.0
GSE232240,26707,26707,0,1.0
GSE190870,17847,17847,0,1.0
GSE240361,5703,5703,0,1.0
