source_gse_id,rows_after_join
GSE161918,901093
GSE243013,766574
GSE241783,618963
GSE168859,564240
GSE254249,459556
GSE243905,369428
GSE212217,220612
GSE243572,207017
GSE139555,163970
GSE228597,149994
GSE144469,142069
GSE188620,130325
GSE221776,126178
GSE311112,114945
GSE308075,112645
GSE254176,102776
GSE267645,101374
GSE162498,82285
GSE168163,80769
GSE178882,74242
GSE229858,65483
GSE155223,55694
GSE301528,50031
GSE125527,47647
GSE252762,45202
GSE155222,39138
GSE171037,37970
GSE211504,37432
GSE145926,33026
GSE232240,26707
GSE190870,17847
GSE240361,5703
