source_gse_id,leiden,cells,target_cells,selection_fraction
GSE241783,7,206455,2000,0.009687341067060618
GSE241783,1,203609,2000,0.009822748503258696
GSE168859,26,131015,2000,0.015265427622791284
GSE161918,0,116025,2000,0.017237664296487827
GSE241783,23,115491,2000,0.017317366721216372
GSE168859,2,113146,2000,0.017676276669082426
GSE243905,2,107957,2000,0.01852589456913401
GSE254249,8,105983,2000,0.018870951001575726
GSE243013,20,103523,2000,0.01931937830240623
GSE161918,2,99200,2000,0.020161290322580645
GSE161918,9,95740,2000,0.020889910173386254
GSE161918,3,86289,2000,0.023177925343902468
GSE243572,0,81870,2000,0.02442897276169537
GSE287301,13,80056,2000,0.024982512241431
GSE243013,10,78878,2000,0.02535561246481909
GSE243013,4,78623,2000,0.02543784897549063
GSE161918,8,69840,2000,0.0286368843069874
GSE161918,17,69322,2000,0.02885086985372609
GSE243013,21,68435,2000,0.029224811865273616
GSE243905,9,67677,2000,0.02955213735833444
GSE168859,9,62267,2000,0.03211974239966595
GSE243013,22,59512,2000,0.033606667562844465
GSE168859,4,58695,2000,0.03407445267910384
GSE243013,8,57338,2000,0.03488088178869162
GSE243013,13,56955,2000,0.03511544201562637
GSE243013,12,56217,2000,0.03557642705943042
GSE168859,19,52502,2000,0.03809378690335606
GSE287301,20,52016,2000,0.03844970778222086
GSE161918,26,48533,2000,0.04120907423814724
GSE144469,11,47576,2000,0.042038002354128134
GSE254249,26,47490,2000,0.042114129290376924
GSE161918,13,47105,2000,0.04245833775607685
GSE311112,17,44969,2000,0.04447508283484178
GSE229858,23,44521,2000,0.044922620785696636
GSE212217,2,44341,2000,0.04510498184524481
GSE212217,9,43540,2000,0.045934772622875514
GSE308075,9,43533,2000,0.04594215882204305
GSE243013,5,42886,1996,0.046541995056661845
GSE308075,21,42599,1983,0.04655038850677246
GSE254249,2,41709,1941,0.04653671869380709
GSE287301,21,40693,1894,0.04654363158282751
GSE252762,25,40343,1878,0.04655082666137868
GSE254249,9,39248,1827,0.04655014268242968
GSE228597,26,38409,1788,0.04655158947121768
GSE168859,16,37299,1736,0.04654280275610606
GSE243905,10,35902,1671,0.046543368057489834
GSE243013,6,35800,1666,0.04653631284916201
GSE228597,8,35642,1659,0.046546209528084845
GSE243013,11,35505,1652,0.046528657935502045
GSE287541,9,35475,1651,0.04653981677237491
GSE235863,5,34782,1619,0.04654706457363004
GSE212217,26,34372,1600,0.04654951704876062
GSE243013,2,33651,1566,0.04653650708745654
GSE212217,8,32769,1525,0.04653788641704049
GSE287301,10,32699,1522,0.046545765925563476
GSE235863,13,31176,1451,0.04654221195791634
GSE235863,10,30693,1428,0.046525266347375624
GSE254249,5,29791,1386,0.04652411802222148
GSE221776,20,29675,1381,0.04653748946925021
GSE161918,4,28694,1335,0.04652540600822472
GSE179994,20,27563,1283,0.046547908427965023
GSE221776,10,27471,1278,0.04652178661133559
GSE287301,16,26814,1248,0.046542850749608414
GSE235863,8,25787,1200,0.04653507581339435
GSE188620,8,25143,1170,0.046533826512349365
GSE188620,9,25118,1169,0.04654032964407994
GSE161918,5,25033,1165,0.04653856908880278
GSE235863,14,24565,1143,0.046529615306330145
GSE179994,10,24451,1138,0.04654206371927529
GSE235863,26,24332,1132,0.046523097156008546
GSE254176,14,24093,1121,0.04652803718922509
GSE161918,10,23048,1073,0.046555015619576534
GSE243572,8,22791,1061,0.04655346408670089
GSE168859,10,22568,1050,0.04652605459057072
GSE287541,8,22486,1046,0.0465178333185093
GSE228597,2,22463,1045,0.04652094555491252
GSE139555,2,22365,1041,0.04654594232059021
GSE168163,9,21752,1012,0.04652445752114748
GSE235863,2,21423,997,0.04653876674602063
GSE241783,9,21261,989,0.046517097032124546
GSE267645,8,20763,966,0.04652506863170062
GSE179994,21,20731,965,0.04654864695383725
GSE243905,8,20717,964,0.046531833759714245
GSE287541,2,20101,935,0.046515098751305904
GSE139555,11,19474,906,0.04652356988805587
GSE188620,3,19429,904,0.046528385403263164
GSE161918,14,19225,895,0.04655396618985696
GSE243013,26,19043,886,0.04652628262353621
GSE254176,9,18914,880,0.04652638257375489
GSE254249,21,18604,866,0.046549129219522686
GSE243905,26,17943,835,0.046536253692247675
GSE139555,10,17942,835,0.04653884739716865
GSE243905,3,17874,832,0.046548058632650775
GSE243572,9,17179,799,0.04651027417195413
GSE243905,17,16913,787,0.04653225329628097
GSE190870,0,16735,779,0.04654914849118614
GSE254249,17,16506,768,0.046528535078153396
GSE221776,11,16473,766,0.0465003338796819
GSE161918,19,16451,765,0.04650173241748222
GSE161918,16,16007,745,0.046542137814706064
GSE287301,4,15944,742,0.04653788258906172
GSE308075,2,15800,735,0.04651898734177215
GSE179994,5,15703,731,0.046551614341208684
GSE168859,14,15537,723,0.04653407993821201
GSE254176,8,15236,709,0.04653452349698083
GSE178882,16,14874,692,0.04652413607637488
GSE229858,7,14761,687,0.04654156222478152
GSE287301,2,14751,686,0.046505321673106906
GSE221776,2,14536,676,0.046505228398459
GSE241783,14,14489,674,0.04651804817447719
GSE287301,22,14454,672,0.04649232046492321
GSE254249,14,14217,661,0.04649363438137441
GSE287301,5,14164,659,0.04652640497034736
GSE139555,26,14054,654,0.04653479436459371
GSE243905,14,14002,651,0.04649335809170119
GSE267645,9,13741,639,0.046503165708463724
GSE240865,2,13493,628,0.04654265174534944
GSE287301,1,13323,620,0.046536065450724313
GSE168163,2,13305,619,0.0465238632093198
GSE254249,10,13286,618,0.04651512870690953
GSE243572,26,13199,614,0.04651867565724676
GSE241783,2,13154,612,0.046525771628402005
GSE287541,26,12632,588,0.04654844838505383
GSE178882,8,12573,585,0.046528274874731566
GSE311112,2,12449,579,0.04650975982006587
GSE188620,2,12319,573,0.04651351570744379
GSE171037,9,11853,551,0.04648612165696448
GSE254249,20,11703,544,0.046483807570708364
GSE228597,9,11683,543,0.04647778823932209
GSE144469,20,11170,520,0.046553267681289166
GSE145926,3,11068,515,0.046530538489338635
GSE267645,2,10922,508,0.046511627906976744
GSE168859,3,10919,508,0.04652440699697775
GSE162498,2,10897,507,0.04652656694503074
GSE234069,2,10747,500,0.04652461151949381
GSE161918,1,10600,493,0.04650943396226415
GSE168163,26,10580,492,0.04650283553875236
GSE179994,22,10501,488,0.046471764593848205
GSE243572,2,10467,487,0.04652718066303621
GSE243572,3,10261,477,0.04648669720300166
GSE254176,26,10204,475,0.046550372402979226
GSE139555,4,10156,472,0.04647499015360378
GSE228597,10,10023,466,0.04649306594831887
GSE125527,2,10000,465,0.0465
GSE267645,26,9988,464,0.04645574689627553
GSE162498,9,9856,458,0.04646915584415585
GSE235863,12,9564,445,0.04652864910079465
GSE144469,22,9520,443,0.04653361344537815
GSE287301,11,9339,434,0.046471784987686046
GSE212217,10,9232,429,0.04646880415944541
GSE139555,20,9113,424,0.04652693953692527
GSE162498,0,8644,402,0.046506247107820455
GSE254249,6,8557,398,0.046511627906976744
GSE178882,2,8541,397,0.04648167661866292
GSE179994,8,8447,393,0.046525393630874864
