panel_order,gene,source_h5ad,sampled_cells
1,CD3D,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
2,CD3E,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
3,TRAC,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
4,TRBC1,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
5,TRBC2,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
6,IL7R,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
7,LTB,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
8,TRDC,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
9,TRGC1,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
10,TRGC2,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
11,NKG7,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
12,KLRD1,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
13,KLRC1,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
14,CTSW,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
15,CCL5,/ssd/tnk_phase3/Integrated_dataset/integrated.h5ad,30000
