source_gse_id,n_cells,phase4_tra_score_mean,phase4_trb_score_mean,phase4_trab_score_mean,phase4_trd_score_mean,phase4_trd_minus_trab_mean,phase4_trd_minus_trab_median,phase4_trd_score_scaled_mean,phase4_trab_score_scaled_mean,phase4_trd_minus_trab_scaled_mean,phase4_trd_minus_trab_scaled_median
GSE161918,807365,-0.021753563,-0.08160267,-0.07340456,-0.013080907,0.06032365,0.064281344,0.07532241,0.22137944,-0.14605704,-0.13557246
GSE243013,759436,-0.0022524002,-0.029643625,-0.041895304,0.0069223405,0.048817642,0.023483947,0.087815866,0.29212895,-0.2043131,-0.218119
GSE241783,600641,-0.035115667,-0.114212476,-0.09346013,-0.029147806,0.06431233,0.06862794,0.06528749,0.17634754,-0.111060046,-0.097891785
GSE168859,544306,-0.018238205,-0.07428537,-0.07128888,-0.012798056,0.05849083,0.059039958,0.07549907,0.22612987,-0.15063082,-0.14990209
GSE254249,406494,-0.0022721456,-0.03458331,-0.043513615,0.053382874,0.096896484,0.029349072,0.11683377,0.28849527,-0.17166151,-0.21049663
GSE243905,350438,0.0079339,-0.026496598,-0.031784087,0.009938167,0.041722253,0.016839743,0.08969946,0.31483227,-0.2251328,-0.24138859
GSE287301,340227,-0.016519353,-0.043787107,-0.056268882,-0.015464002,0.040804878,0.029615622,0.073834,0.25985515,-0.18602116,-0.18962547
GSE235863,241766,-0.0076756817,-0.03660753,-0.046179753,0.0015074883,0.04768724,0.028352419,0.0844339,0.28250885,-0.19807494,-0.20777509
GSE212217,213706,0.0077319606,-0.020199927,-0.028088508,0.031666595,0.059755106,0.016473554,0.10327041,0.32313016,-0.21985973,-0.24578789
GSE243572,188217,-0.01246101,-0.04090748,-0.045379486,0.011592398,0.056971885,0.03507596,0.09073264,0.28430572,-0.19357309,-0.20584828
GSE228597,149812,0.006683765,-0.01864946,-0.02512009,0.053901516,0.0790216,0.01820768,0.1171577,0.3297953,-0.21263759,-0.24658829
GSE179994,148785,-0.02429656,-0.08972231,-0.07890104,-0.018647462,0.060253583,0.0610442,0.0718457,0.20903789,-0.13719217,-0.13696592
GSE139555,147472,-0.019605357,-0.0673153,-0.06531983,-0.017611822,0.047708012,0.048258908,0.07249253,0.23953255,-0.16704,-0.16626783
GSE221776,126025,-0.030150183,-0.09064648,-0.082176894,-0.02263938,0.05953751,0.060193863,0.06935246,0.20168243,-0.13232997,-0.13187589
GSE188620,123218,-0.0033932196,-0.038396638,-0.046071377,0.0074473573,0.05351873,0.032418013,0.08814377,0.2827522,-0.19460842,-0.20672594
GSE144469,113064,-0.027779456,-0.10076081,-0.088364385,-0.021179294,0.0671851,0.06898926,0.07026439,0.18778929,-0.11752491,-0.114157006
GSE308075,112337,0.012383832,-0.011978813,-0.030229082,-0.024717009,0.005512075,-0.0020775814,0.06805484,0.3183238,-0.25026894,-0.25378597
GSE287541,110874,-0.0039914497,-0.029783212,-0.035941496,0.003533926,0.039475426,0.020706963,0.08569956,0.30549738,-0.21979782,-0.23001635
GSE254176,96953,0.004397442,-0.029597044,-0.03439129,0.023327464,0.057718754,0.018732928,0.09806203,0.30897814,-0.2109161,-0.23573926
GSE267645,92501,-0.008035995,-0.042843338,-0.052185606,0.015455742,0.06764135,0.03957509,0.09314559,0.26902357,-0.17587799,-0.18988529
GSE311112,90599,-0.004176068,-0.047522858,-0.049041603,0.008921489,0.05796309,0.03600689,0.08906447,0.276083,-0.1870185,-0.19136064
GSE168163,77041,-0.013398522,-0.06362702,-0.05891979,-0.009266832,0.049652956,0.049798325,0.07770457,0.25390294,-0.17619835,-0.1770865
GSE162498,75880,0.009665129,-0.01500021,-0.02836829,0.0056082527,0.033976544,0.017648261,0.086995125,0.32250193,-0.2355068,-0.24357258
GSE178882,67755,-0.005004109,-0.038989503,-0.045645785,0.011419182,0.057064965,0.03648866,0.09062446,0.2837078,-0.19308333,-0.20266122
GSE229858,65437,-0.03380482,-0.115849026,-0.08606595,-0.029171254,0.05689469,0.057651106,0.065272845,0.19295013,-0.12767728,-0.12648365
GSE155223,48380,-0.019671604,-0.082758345,-0.07259861,-0.014412448,0.05818616,0.060132872,0.07449076,0.2231891,-0.14869833,-0.1445128
GSE125527,46396,0.0049141683,-0.019895842,-0.028998066,0.02668543,0.055683494,0.01976877,0.10015932,0.32108787,-0.22092853,-0.23999994
GSE252762,45132,-0.0018037542,-0.01385664,-0.032438107,0.06475972,0.097197816,0.020006841,0.12393942,0.31336373,-0.18942432,-0.23383763
GSE301528,44105,0.002207431,-0.030810239,-0.035867408,0.03050932,0.06637672,0.022855043,0.10254761,0.30566373,-0.20311612,-0.2305373
GSE211504,37244,0.014625006,-0.012856351,-0.022271974,-0.0075111124,0.01476086,0.011975795,0.07880115,0.3361903,-0.2573892,-0.25571638
GSE155222,34698,-0.01755571,-0.07992436,-0.07184266,-0.012536178,0.059306476,0.06092798,0.075662635,0.22488648,-0.14922385,-0.14677382
GSE171037,31937,0.01590349,-0.008130745,-0.020419454,-0.0065498976,0.0138695575,0.007669837,0.07940149,0.3403499,-0.2609484,-0.26718214
GSE232240,25359,-0.025143236,-0.095070444,-0.08225114,-0.019745233,0.06250591,0.06329398,0.07116006,0.20151572,-0.13035566,-0.13046914
GSE240865,21680,0.0039342316,-0.01588328,-0.029746637,-0.0014284896,0.028318148,0.019780805,0.08260018,0.31940705,-0.23680688,-0.23883754
GSE145926,21039,-0.012317529,-0.06946575,-0.053590607,0.0021269354,0.05571754,0.041368246,0.08482079,0.2658688,-0.18104805,-0.17947325
GSE234069,20807,0.021132763,-0.0038384981,-0.009263864,0.0057379412,0.015001805,-0.0012462926,0.08707612,0.36539817,-0.27832204,-0.28714547
GSE190870,16753,-0.0045412444,-0.11285613,-0.07662754,-0.06013837,0.016489163,0.01899267,0.045931675,0.21414272,-0.16821104,-0.13680628
