source_gse_id,total_cells,positive_cells,positive_fraction_within_gse,share_of_all_positive_cells,metric_name,threshold_description
GSE161918,807365,807365,1.0,0.17652299774143967,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE243013,759436,759336,0.9998683233346852,0.16602189469817719,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE168859,544306,544306,1.0,0.11900754529692525,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE254249,406494,406494,1.0,0.08887620771758595,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE243905,350438,350438,1.0,0.07662007429417256,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE212217,213706,213705,0.9999953206741973,0.04672465022924497,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE243572,188217,188217,1.0,0.041151931364253526,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE188620,123218,123218,1.0,0.0269404925104565,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE308075,112337,112336,0.9999910982134115,0.024561242404962273,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE144469,113064,111568,0.9867685558621666,0.024393326205640498,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE235863,241766,109836,0.4543070572371632,0.024014640193628367,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE254176,96953,96949,0.9999587428960424,0.02119701511464435,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE228597,149812,95250,0.6357968654046405,0.020825544251821825,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE311112,90599,90598,0.9999889623505778,0.019808426856971692,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE221776,126025,83668,0.6639000198373338,0.018293245527154105,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE179994,148785,78152,0.5252680041670867,0.017087222408066975,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE178882,67755,67751,0.9999409637665116,0.014813138568033391,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE139555,147472,61640,0.41797764999457526,0.013477024122648791,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE287541,110874,55480,0.5003878276241499,0.012130196273922046,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE125527,46396,46217,0.9961419087852401,0.010104925760487656,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE252762,45132,45131,0.9999778427723123,0.009867481759884209,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE211504,37244,37242,0.9999463000751799,0.008142623821798934,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE171037,31937,29133,0.9122021479788334,0.006369664889116275,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE145926,21039,21034,0.9997623461191121,0.004598892365278953,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE240865,21680,12407,0.5722785977859779,0.0027126774544079094,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE234069,20807,11362,0.5460662277118278,0.0024841977300703367,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE287301,340227,8555,0.025144976736120296,0.001870472767184627,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE168163,77041,6322,0.08206020171077738,0.0013822476720211818,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE155222,34698,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE155223,48380,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE162498,75880,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE190870,16753,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE229858,65437,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE232240,25359,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE241783,600641,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE267645,92501,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
GSE301528,44105,0,0.0,0.0,paired_tra_trb,Paired TRA/TRB CDR3 present
