source_gse_id,total_cells,positive_cells,positive_fraction_within_gse,share_of_all_positive_cells,metric_name,threshold_description
GSE254249,406494,8933,0.021975724118929185,0.24703409750836536,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE243013,759436,5897,0.007764972953612944,0.16307624236055418,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE228597,149812,3378,0.022548260486476384,0.09341555819805868,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE212217,213706,3219,0.015062749759014721,0.08901855590276818,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE243905,350438,2898,0.008269651122309795,0.08014158900472886,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE252762,45132,2121,0.04699547992555172,0.05865435137302619,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE254176,96953,1421,0.01465658618093303,0.03929647963275352,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE235863,241766,1383,0.005720407336019126,0.038245623738281574,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE287301,340227,1382,0.00406199390406993,0.03821796963579547,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE243572,188217,839,0.0044576207250142125,0.0232017919858411,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE301528,44105,763,0.017299625892755924,0.02110008019689721,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE162498,75880,681,0.008974696889826042,0.018832443793036696,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE125527,46396,656,0.01413914992671782,0.0181410912308841,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE188620,123218,615,0.004991153889853755,0.017007273028953846,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE267645,92501,489,0.005286429335899071,0.013522856115704765,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE311112,90599,469,0.005176657579001976,0.012969774065982688,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE178882,67755,428,0.006316876983248469,0.011835955864052432,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE287541,110874,175,0.0015783682378195068,0.004839467935068167,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE145926,21039,155,0.007367270307524122,0.004286385885346091,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE234069,20807,87,0.00418128514442255,0.002405906916291032,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE308075,112337,78,0.0006943393539083294,0.0021570199939160975,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE240865,21680,62,0.0028597785977859777,0.0017145543541384365,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE211504,37244,17,0.00045644936097089466,0.00047011974226376485,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE171037,31937,14,0.00043836302720981935,0.00038715743480545337,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE190870,16753,1,5.969080164746613e-05,2.7654102486103815e-05,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE139555,147472,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE144469,113064,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE155222,34698,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE155223,48380,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE161918,807365,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE168163,77041,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE168859,544306,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE179994,148785,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE221776,126025,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE229858,65437,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE232240,25359,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
GSE241783,600641,0,0.0,0.0,trab_minus_trd_lt_neg0p6,TRAB - TRD < -0.6 (raw)
