source_gse_id,total_cells,positive_cells,positive_fraction_within_gse,share_of_all_positive_cells,metric_name,threshold_description
GSE254249,406494,95291,0.2344216642804076,0.2571769398721281,trd_gt_0p1,TRD > 0.1 (raw)
GSE243013,759436,64299,0.0846667790307544,0.1735339125084002,trd_gt_0p1,TRD > 0.1 (raw)
GSE212217,213706,27790,0.13003846405809852,0.07500128195786002,trd_gt_0p1,TRD > 0.1 (raw)
GSE243905,350438,27189,0.07758576410092513,0.07337926790760188,trd_gt_0p1,TRD > 0.1 (raw)
GSE228597,149812,25762,0.17196219261474383,0.06952799661023354,trd_gt_0p1,TRD > 0.1 (raw)
GSE235863,241766,17071,0.07060959771018258,0.0460722160598283,trd_gt_0p1,TRD > 0.1 (raw)
GSE243572,188217,14496,0.07701748513683673,0.03912265502918816,trd_gt_0p1,TRD > 0.1 (raw)
GSE287301,340227,13601,0.03997625114996752,0.03670717653504333,trd_gt_0p1,TRD > 0.1 (raw)
GSE254176,96953,11651,0.12017162955246356,0.03144440216232555,trd_gt_0p1,TRD > 0.1 (raw)
GSE267645,92501,10428,0.11273391639009309,0.02814369803010307,trd_gt_0p1,TRD > 0.1 (raw)
GSE188620,123218,10229,0.08301546851920985,0.02760662515822059,trd_gt_0p1,TRD > 0.1 (raw)
GSE311112,90599,9014,0.09949337189152198,0.024327511895219513,trd_gt_0p1,TRD > 0.1 (raw)
GSE252762,45132,8584,0.19019764247097404,0.023167002674568924,trd_gt_0p1,TRD > 0.1 (raw)
GSE287541,110874,7793,0.07028699244187095,0.02103220548030238,trd_gt_0p1,TRD > 0.1 (raw)
GSE301528,44105,5656,0.12823942863620905,0.015264744539534232,trd_gt_0p1,TRD > 0.1 (raw)
GSE178882,67755,5227,0.07714559811084053,0.01410693417753632,trd_gt_0p1,TRD > 0.1 (raw)
GSE125527,46396,4736,0.10207776532459695,0.01278179457907251,trd_gt_0p1,TRD > 0.1 (raw)
GSE162498,75880,3510,0.04625724828676858,0.009472993870892,trd_gt_0p1,TRD > 0.1 (raw)
GSE308075,112337,3506,0.03120966377952055,0.009462198436281297,trd_gt_0p1,TRD > 0.1 (raw)
GSE145926,21039,1177,0.05594372356100575,0.003176556634199397,trd_gt_0p1,TRD > 0.1 (raw)
GSE234069,20807,969,0.04657086557408564,0.002615194034442834,trd_gt_0p1,TRD > 0.1 (raw)
GSE240865,21680,776,0.03579335793357934,0.002094314314476408,trd_gt_0p1,TRD > 0.1 (raw)
GSE211504,37244,714,0.019170873160777573,0.0019269850780105093,trd_gt_0p1,TRD > 0.1 (raw)
GSE171037,31937,699,0.021886839715690266,0.0018865021982203726,trd_gt_0p1,TRD > 0.1 (raw)
GSE190870,16753,359,0.02142899779144034,0.0009688902563106062,trd_gt_0p1,TRD > 0.1 (raw)
GSE139555,147472,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE144469,113064,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE155222,34698,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE155223,48380,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE161918,807365,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE168163,77041,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE168859,544306,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE179994,148785,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE221776,126025,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE229858,65437,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE232240,25359,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
GSE241783,600641,0,0.0,0.0,trd_gt_0p1,TRD > 0.1 (raw)
