tissue,gdt_cells,gdt_with_paired_TRG_TRD,fraction_paired_TRG_TRD_within_gdt
cord blood,10397,5129,0.4933153794363759
peripheral blood,4772,2929,0.613788767812238
"Descending, sigmoidal colon; rectum",17,4,0.23529411764705882
pancreas,58,3,0.05172413793103448
duodenum,95,1,0.010526315789473684
lung,22,1,0.045454545454545456
thymus,2127,0,0.0
blood,978,0,0.0
tumor,351,0,0.0
csf,307,0,0.0
heart,115,0,0.0
spleen,89,0,0.0
Tumor,65,0,0.0
jejunum,40,0,0.0
bone marrow,36,0,0.0
Normal,30,0,0.0
stomach,29,0,0.0
esophagus,28,0,0.0
bone_marrow,20,0,0.0
sigmoid colon,20,0,0.0
kidney,15,0,0.0
rectum,15,0,0.0
liver,14,0,0.0
skin,11,0,0.0
unknown,11,0,0.0
liver_tumor,6,0,0.0
muscle,5,0,0.0
"Ascending, transverse, descending, sigmoidal colon; rectum",4,0,0.0
balf,4,0,0.0
mixed_duodenum_pbmc,4,0,0.0
"Sigmoidal colon, rectum",3,0,0.0
bladder,3,0,0.0
mesenteric lymph node,3,0,0.0
adjacent_normal_tissue,2,0,0.0
lymph node,2,0,0.0
tracheal_aspirate,2,0,0.0
"Ascending, Descending, sigmoidal colon; rectum",1,0,0.0
Sigmoidal colon,1,0,0.0
ascending colon,1,0,0.0
ileum,1,0,0.0
lesser gastric curvature lymph node,1,0,0.0
