source_gse_id,n_cells,phase4_trab_score_mean,phase4_trd_score_mean,phase4_trd_minus_trab_mean,phase4_trd_minus_trab_median
HRA005041,766639,-0.051022034,0.012618273,0.063640304,0.009900527
GSE243013,759436,-0.050323747,-0.009930654,0.04039309,0.015378488
GSE206325,501012,-0.039145168,0.010443118,0.049588285,0.0054617003
GSE254249,406494,-0.052943505,0.029713355,0.08265685,0.017107306
GSE243905,350438,-0.039652947,-0.012097839,0.02755511,0.0029981947
GSE287301,340227,-0.057241328,-0.040121302,0.017120024,0.005696323
GSE235863,241766,-0.054777894,-0.018749679,0.036028218,0.016731333
GSE212217,213706,-0.03125158,0.012095077,0.043346662,0.00070753973
GSE243572,188217,-0.05227368,-0.000679727,0.051593956,0.030236356
GSE228597,149812,-0.030700447,0.038330663,0.06903111,0.009437133
GSE188620,123218,-0.05278486,-0.011571252,0.04121361,0.020554872
GSE308075,112337,-0.03196189,-0.033403225,-0.0014413347,-0.008720733
GSE287541,110874,-0.04169737,-0.016335618,0.025361756,0.006719536
GSE144469,107068,-0.030282063,0.0004595502,0.030741613,-0.026478382
GSE254176,96953,-0.041343518,0.0018213745,0.043164894,0.0047306344
GSE267645,92501,-0.057526663,-0.0053662057,0.052160457,0.02440473
GSE311112,90599,-0.057418093,-0.009060316,0.04835778,0.027409064
GSE162498,75880,-0.03311588,-0.014638874,0.018477006,0.0020527001
GSE178882,67755,-0.04918713,-0.0029068857,0.046280246,0.026218463
GSE125527,46396,-0.030399946,0.013178277,0.043578226,0.007789281
GSE252762,45132,-0.043470643,0.042292915,0.08576356,0.009451585
GSE301528,44105,-0.042616334,0.011575231,0.054191563,0.011502199
GSE211504,37244,-0.02661628,-0.026478376,0.00013790399,-0.003032012
GSE171037,31937,-0.026983105,-0.028015286,-0.0010321827,-0.0072620567
GDT_2020AUG_woCOV,25904,-0.055878177,0.52281415,0.5786924,0.59703964
GSE240865,21680,-0.029280867,-0.015535096,0.013745772,0.0047473162
GSE145926,21039,-0.06362223,-0.018964438,0.044657793,0.030014269
GSE234069,20807,-0.015393115,-0.0111292675,0.0042638476,-0.011934392
GSE190870,16753,-0.09352831,-0.09130437,0.0022239394,0.0044645965
GDTlung2023july_7p,15175,-0.058442563,0.13983724,0.1982798,0.18963087
MalteGDT,7800,-0.0638581,0.4461008,0.5099589,0.497031
