source_gse_id,n_cells
HRA005041,92207
GSE254249,89165
GSE206325,78479
GSE243013,62275
GSE212217,27323
GSE243905,25849
GSE228597,25544
GDT_2020AUG_woCOV,24910
GSE235863,15879
GSE243572,14068
GSE287301,12334
GSE144469,11741
GSE254176,11227
GSE267645,9856
GSE188620,9425
GSE252762,8409
GSE311112,8279
GDTlung2023july_7p,7682
MalteGDT,7652
GSE287541,7643
GSE301528,5513
GSE178882,5127
GSE125527,4708
GSE162498,3349
GSE308075,3321
GSE145926,1143
GSE234069,967
GSE240865,751
GSE211504,687
GSE171037,670
GSE190870,229
