panel_order,gene,source_h5ad,sampled_cells
1,CD3D,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
2,CD3E,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
3,TRAC,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
4,TRBC1,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
5,TRBC2,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
6,IL7R,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
7,LTB,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
8,CD4,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
9,CD8A,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
10,CD8B,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
11,FOXP3,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
12,IL2RA,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
13,CTLA4,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
14,TRDC,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
15,TRDV1,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
16,TRDV2,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
17,TRGV9,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
18,TRGC1,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
19,NKG7,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
20,KLRD1,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
21,KLRC1,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
22,GNLY,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
23,CTSW,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
24,CCL5,/ssd/tnk_phase3/Integrated_dataset/integrated_plus6.h5ad,40000
