source_gse_id,n_atlas_rows,n_old_any_ab,n_rebuilt_any_ab,n_old_paired_ab,n_rebuilt_paired_ab,n_old_only_any_ab,n_rebuilt_only_any_ab,n_assignment_ineligible
GSE125527,46396,0,33141,0,24976,0,33141,0
GSE171037,31937,0,472,0,0,0,472,0
GSE178882,67755,0,36002,0,24148,0,36002,0
GSE188620,123218,71160,71160,60599,60599,0,0,0
GSE211504,37244,0,29086,0,24811,0,29086,0
GSE212217,213706,142604,142604,115048,115048,0,0,0
GSE228597,149812,0,54819,0,39925,0,54819,0
GSE235863,241766,0,109741,0,109741,0,109741,109
GSE243572,188217,55770,55770,31767,31767,0,0,0
GSE243905,350438,217164,217164,188863,188863,0,0,0
GSE254176,96953,0,66062,0,56849,0,66062,0
GSE254249,406494,174010,174010,174010,174010,0,0,0
GSE287541,110874,0,75707,0,53761,0,75707,0
GSE311112,90599,10333,35243,7590,29392,681,25591,0
