feature,feature_index
TRDC_log1p_cp10k,0
TRDJ1_log1p_cp10k,1
TRDJ2_log1p_cp10k,2
TRDJ3_log1p_cp10k,3
TRDV1_log1p_cp10k,4
TRDV2_log1p_cp10k,5
TRDV3_log1p_cp10k,6
TRGC1_log1p_cp10k,7
TRGC2_log1p_cp10k,8
TRGV1_log1p_cp10k,9
TRGV10_log1p_cp10k,10
TRGV11_log1p_cp10k,11
TRGV2_log1p_cp10k,12
TRGV3_log1p_cp10k,13
TRGV4_log1p_cp10k,14
TRGV5_log1p_cp10k,15
TRGV5P_log1p_cp10k,16
TRGV6_log1p_cp10k,17
TRGV7_log1p_cp10k,18
TRGV8_log1p_cp10k,19
TRGV9_log1p_cp10k,20
TRAC_log1p_cp10k,21
TRAJ1_log1p_cp10k,22
TRAJ10_log1p_cp10k,23
TRAJ11_log1p_cp10k,24
TRAJ12_log1p_cp10k,25
TRAJ13_log1p_cp10k,26
TRAJ14_log1p_cp10k,27
TRAJ16_log1p_cp10k,28
TRAJ17_log1p_cp10k,29
TRAJ18_log1p_cp10k,30
TRAJ2_log1p_cp10k,31
TRAJ20_log1p_cp10k,32
TRAJ22_log1p_cp10k,33
TRAJ23_log1p_cp10k,34
TRAJ24_log1p_cp10k,35
TRAJ25_log1p_cp10k,36
TRAJ27_log1p_cp10k,37
TRAJ28_log1p_cp10k,38
TRAJ29_log1p_cp10k,39
TRAJ3_log1p_cp10k,40
TRAJ31_log1p_cp10k,41
TRAJ32_log1p_cp10k,42
TRAJ33_log1p_cp10k,43
TRAJ34_log1p_cp10k,44
TRAJ35_log1p_cp10k,45
TRAJ36_log1p_cp10k,46
TRAJ37_log1p_cp10k,47
TRAJ38_log1p_cp10k,48
TRAJ39_log1p_cp10k,49
TRAJ4_log1p_cp10k,50
TRAJ40_log1p_cp10k,51
TRAJ41_log1p_cp10k,52
TRAJ42_log1p_cp10k,53
TRAJ43_log1p_cp10k,54
TRAJ44_log1p_cp10k,55
TRAJ45_log1p_cp10k,56
TRAJ46_log1p_cp10k,57
TRAJ47_log1p_cp10k,58
TRAJ49_log1p_cp10k,59
TRAJ5_log1p_cp10k,60
TRAJ50_log1p_cp10k,61
TRAJ52_log1p_cp10k,62
TRAJ54_log1p_cp10k,63
TRAJ57_log1p_cp10k,64
TRAJ58_log1p_cp10k,65
TRAJ6_log1p_cp10k,66
TRAJ7_log1p_cp10k,67
TRAJ9_log1p_cp10k,68
TRAV1-1_log1p_cp10k,69
TRAV1-2_log1p_cp10k,70
TRAV10_log1p_cp10k,71
TRAV12-1_log1p_cp10k,72
TRAV12-2_log1p_cp10k,73
TRAV12-3_log1p_cp10k,74
TRAV13-1_log1p_cp10k,75
TRAV13-2_log1p_cp10k,76
TRAV14DV4_log1p_cp10k,77
TRAV15_log1p_cp10k,78
TRAV16_log1p_cp10k,79
TRAV17_log1p_cp10k,80
TRAV18_log1p_cp10k,81
TRAV19_log1p_cp10k,82
TRAV2_log1p_cp10k,83
TRAV20_log1p_cp10k,84
TRAV21_log1p_cp10k,85
TRAV22_log1p_cp10k,86
TRAV23DV6_log1p_cp10k,87
TRAV24_log1p_cp10k,88
TRAV25_log1p_cp10k,89
TRAV26-1_log1p_cp10k,90
TRAV26-2_log1p_cp10k,91
TRAV27_log1p_cp10k,92
TRAV29DV5_log1p_cp10k,93
TRAV3_log1p_cp10k,94
TRAV30_log1p_cp10k,95
TRAV34_log1p_cp10k,96
TRAV35_log1p_cp10k,97
TRAV36DV7_log1p_cp10k,98
TRAV38-1_log1p_cp10k,99
TRAV38-2DV8_log1p_cp10k,100
TRAV39_log1p_cp10k,101
TRAV4_log1p_cp10k,102
TRAV40_log1p_cp10k,103
TRAV41_log1p_cp10k,104
TRAV5_log1p_cp10k,105
TRAV6_log1p_cp10k,106
TRAV8-1_log1p_cp10k,107
TRAV8-2_log1p_cp10k,108
TRAV8-3_log1p_cp10k,109
TRAV8-4_log1p_cp10k,110
TRAV8-5_log1p_cp10k,111
TRAV8-6_log1p_cp10k,112
TRAV9-2_log1p_cp10k,113
TRBC1_log1p_cp10k,114
TRBC2_log1p_cp10k,115
TRBJ1-1_log1p_cp10k,116
TRBJ1-2_log1p_cp10k,117
TRBJ1-3_log1p_cp10k,118
TRBJ1-4_log1p_cp10k,119
TRBJ1-5_log1p_cp10k,120
TRBJ1-6_log1p_cp10k,121
TRBJ2-1_log1p_cp10k,122
TRBJ2-2_log1p_cp10k,123
TRBJ2-2P_log1p_cp10k,124
TRBJ2-3_log1p_cp10k,125
TRBJ2-4_log1p_cp10k,126
TRBJ2-5_log1p_cp10k,127
TRBJ2-6_log1p_cp10k,128
TRBJ2-7_log1p_cp10k,129
TRBV1_log1p_cp10k,130
TRBV10-1_log1p_cp10k,131
TRBV10-2_log1p_cp10k,132
TRBV10-3_log1p_cp10k,133
TRBV11-1_log1p_cp10k,134
TRBV11-2_log1p_cp10k,135
TRBV11-3_log1p_cp10k,136
TRBV12-1_log1p_cp10k,137
TRBV12-2_log1p_cp10k,138
TRBV12-3_log1p_cp10k,139
TRBV12-4_log1p_cp10k,140
TRBV12-5_log1p_cp10k,141
TRBV13_log1p_cp10k,142
TRBV14_log1p_cp10k,143
TRBV15_log1p_cp10k,144
TRBV16_log1p_cp10k,145
TRBV18_log1p_cp10k,146
TRBV19_log1p_cp10k,147
TRBV2_log1p_cp10k,148
TRBV20-1_log1p_cp10k,149
TRBV21-1_log1p_cp10k,150
TRBV23-1_log1p_cp10k,151
TRBV24-1_log1p_cp10k,152
TRBV25-1_log1p_cp10k,153
TRBV27_log1p_cp10k,154
TRBV28_log1p_cp10k,155
TRBV29-1_log1p_cp10k,156
TRBV3-1_log1p_cp10k,157
TRBV30_log1p_cp10k,158
TRBV4-1_log1p_cp10k,159
TRBV4-2_log1p_cp10k,160
TRBV5-1_log1p_cp10k,161
TRBV5-3_log1p_cp10k,162
TRBV5-4_log1p_cp10k,163
TRBV5-5_log1p_cp10k,164
TRBV5-6_log1p_cp10k,165
TRBV5-7_log1p_cp10k,166
TRBV6-1_log1p_cp10k,167
TRBV6-2_log1p_cp10k,168
TRBV6-4_log1p_cp10k,169
TRBV6-5_log1p_cp10k,170
TRBV6-6_log1p_cp10k,171
TRBV6-7_log1p_cp10k,172
TRBV6-8_log1p_cp10k,173
TRBV7-2_log1p_cp10k,174
TRBV7-3_log1p_cp10k,175
TRBV7-4_log1p_cp10k,176
TRBV7-5_log1p_cp10k,177
TRBV7-6_log1p_cp10k,178
TRBV7-7_log1p_cp10k,179
TRBV7-9_log1p_cp10k,180
TRBV9_log1p_cp10k,181
CD3D_log1p_cp10k,182
CD3E_log1p_cp10k,183
CD3G_log1p_cp10k,184
CD2_log1p_cp10k,185
CD247_log1p_cp10k,186
LCK_log1p_cp10k,187
LAT_log1p_cp10k,188
TRAT1_log1p_cp10k,189
CD5_log1p_cp10k,190
CD6_log1p_cp10k,191
THEMIS_log1p_cp10k,192
NKG7_log1p_cp10k,193
GNLY_log1p_cp10k,194
PRF1_log1p_cp10k,195
GZMA_log1p_cp10k,196
GZMB_log1p_cp10k,197
GZMH_log1p_cp10k,198
KLRD1_log1p_cp10k,199
KLRF1_log1p_cp10k,200
FCGR3A_log1p_cp10k,201
NCAM1_log1p_cp10k,202
TYROBP_log1p_cp10k,203
FCER1G_log1p_cp10k,204
CST7_log1p_cp10k,205
CTSW_log1p_cp10k,206
EOMES_log1p_cp10k,207
TBX21_log1p_cp10k,208
CD4_log1p_cp10k,209
FOXP3_log1p_cp10k,210
IL7R_log1p_cp10k,211
CCR7_log1p_cp10k,212
SELL_log1p_cp10k,213
CD8A_log1p_cp10k,214
CD8B_log1p_cp10k,215
MS4A1_log1p_cp10k,216
CD79A_log1p_cp10k,217
CD79B_log1p_cp10k,218
MZB1_log1p_cp10k,219
JCHAIN_log1p_cp10k,220
LST1_log1p_cp10k,221
LYZ_log1p_cp10k,222
S100A8_log1p_cp10k,223
S100A9_log1p_cp10k,224
FCN1_log1p_cp10k,225
CST3_log1p_cp10k,226
MKI67_log1p_cp10k,227
TOP2A_log1p_cp10k,228
any_TRDV,229
any_TRDJ_TRDD,230
any_TRG,231
any_ab_TCR_gene,232
TRDC_only,233
TRDC_plus_TRDV,234
TRDC_plus_TRG_no_TRDV,235
CD3_score,236
T_lineage_score,237
NK_context_score,238
cytotoxic_score,239
gdT_TCR_score,240
abT_TCR_score,241
gdT_minus_abT_TCR_score,242
CD3_minus_NK_score,243
TRDC_log1p,244
TRDV_score,245
TRDJ_TRDD_score,246
TRG_score,247
cytotoxic_with_TCR_support,248
cytotoxic_without_TCR_support,249
CD4_FOXP3_score,250
B_score,251
myeloid_score,252
