cohort_id,library_id,source_accession,source_role,modality,builder_adapter,source_glob,required,metasheet_required,sample_id_rule,library_id_rule,donor_rule,tissue_rule,diagnosis_rule,tcr_schema,tcr_join_key,count_matrix_state,sparse_expected,notes
GSE114724,GSE114724_GEX,GSE114724,gex,scRNA,tenx_gex_vdj,**/GSE114724/**/*matrix.mtx*;**/*GSE114724*matrix.mtx*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,raw_integer_counts,true,Matrix Market count bundles paired from the filtered shared metasheet; preserve sparse values.
GSE114724,GSE114724_VDJ,GSE114724,vdj,TCR,tenx_gex_vdj,**/GSE114724/**/*contig*.csv*;**/*GSE114724*contig*.csv*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,not_applicable,false,Productive contigs paired from the filtered shared metasheet.
GSE121636_GSE121637,GSE121636_GEX,GSE121636,gex,scRNA,tenx_gex_vdj,**/GSE121636/**/*matrix.mtx*;**/*GSE121636*matrix.mtx*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,raw_integer_counts,true,Sealed mixed T/NK holdout GEX paired from the shared metasheet.
GSE121636_GSE121637,GSE121637_VDJ,GSE121637,vdj,TCR,tenx_gex_vdj,**/GSE121637/**/*contig*.csv*;**/*GSE121637*contig*.csv*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,not_applicable,false,Linked VDJ accession; productive contigs only.
GSE159251,GSE159251_RDS,GSE159251,combined,scRNA+TCR,gse159251_double_gzip_rds,**/GSE159251/extracted/GSM*.rds.gz*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,partial_embedded_tra_trb_cdr3,sample_id+barcode_core,raw_integer_counts,true,Per-sample double-gzipped Seurat RDS selected by exact GSM from the filtered shared metasheet; embeds TRA_CDR3|TRB_CDR3.
GSE169246,GSE169246_ACCESSION_MATCHED_GEX,GSE169246,gex,scRNA,provenance_blocked,**/GSE169246/GSE169246_TNBC_RNA.counts.mtx.gz;**/GSE169246_TNBC_RNA.counts.mtx.gz,false,true,blocked,blocked,blocked,blocked,cohort,unverified_blocked,sample_id+barcode_core,raw_integer_counts,true,Documentation-only source contract. Bootstrap H5AD and mmc3/mmc5 are explicitly forbidden; intake remains disabled pending accession-matched metadata/TCR proof.
GSE292700,GSE292700_GEX,GSE292700,gex,scRNA,tenx_gex_vdj,**/GSE292700/**/*matrix.mtx*;**/*GSE292700*matrix.mtx*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,raw_integer_counts,true,Matrix Market count bundles paired from the filtered shared metasheet.
GSE292700,GSE292700_VDJ,GSE292700,vdj,TCR,tenx_gex_vdj,**/GSE292700/**/*contig*.csv*;**/*GSE292700*contig*.csv*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,not_applicable,false,Productive contigs paired from the filtered shared metasheet.
GSE294273_GSE294274,GSE294273_GEX,GSE294273,gex,scRNA,tenx_gex_vdj,**/GSE294273/**/*matrix.mtx*;**/*GSE294273*matrix.mtx*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,raw_integer_counts,true,Melanoma lymph-node metastasis GEX accession; pair HM sample IDs with GSE294274.
GSE294273_GSE294274,GSE294274_VDJ,GSE294274,vdj,TCR,tenx_gex_vdj,**/GSE294274/**/*contig*.csv*;**/*GSE294274*contig*.csv*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,not_applicable,false,Melanoma lymph-node metastasis scTCR accession; productive contigs only.
GSE296954,GSE296954_GEX,GSE296954,gex,scRNA,tenx_gex_vdj,**/GSE296954/**/*.h5;**/*GSE296954*.h5,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,raw_integer_counts,true,10x feature-barcode H5 files paired from the filtered shared metasheet.
GSE296954,GSE296954_VDJ,GSE296954,vdj,TCR,tenx_gex_vdj,**/GSE296954/**/*contig*.csv*;**/*GSE296954*contig*.csv*,true,true,shared_metasheet,shared_metasheet,shared_metasheet,shared_metasheet_or_cohort,shared_metasheet_or_cohort,productive_contigs,sample_id+barcode_core,not_applicable,false,Matched scVDJ source paired from the filtered shared metasheet.
GSE315928,GSE315928_H5AD,GSE315928,combined,scRNA+TCR,gse315928_embedded_airr,**/GSE315928/**/*.h5ad;**/*GSE315928*.h5ad,true,true,shared_metasheet_and_publisher_xlsx,shared_metasheet_and_publisher_xlsx,shared_metasheet_and_publisher_xlsx,shared_metasheet_and_publisher_xlsx,shared_metasheet_or_cohort,embedded_airr_tra_trb,sample_id+barcode_core,raw_integer_counts,true,Sealed abT-negative holdout; map embedded AIRR TRA/TRB and enrich the filtered shared snapshot from the publisher XLSX.
GSE315928,GSE315928_METADATA,GSE315928,sample_metadata,metadata,gse315928_embedded_airr,**/GSE315928/**/*Sample_metadata*.xlsx;**/*GSE315928*Sample_metadata*.xlsx,true,false,publisher_xlsx,publisher_xlsx,publisher_xlsx,publisher_xlsx,shared_metasheet_or_cohort,embedded_airr_tra_trb,sample_id+barcode_core,not_applicable,false,Publisher sample XLSX supplements the filtered shared metasheet.
