dataset_id,library_id,sample_id,rna_assay,tcr_assay,tcr_scope,active,notes
BALF_BLOOD_COPD,LIB1,LIB1,10x 5',vdj,ab_and_gd,false,BALF; multiplexed donor library. External validation only; not active for atlas integration.
BALF_BLOOD_COPD,LIB2,LIB2,10x 5',vdj,ab_and_gd,false,BALF; multiplexed donor library. External validation only; not active for atlas integration.
BALF_BLOOD_COPD,LIB3,LIB3,10x 5',vdj,ab_and_gd,false,PBMC; multiplexed donor library. External validation only; not active for atlas integration.
BALF_BLOOD_COPD,LIB4,LIB4,10x 5',vdj,ab_and_gd,false,PBMC; multiplexed donor library. External validation only; not active for atlas integration.
GDT_2020AUG_woCOV,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GDTlung2023july_7p,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE123813,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE125527,GSM3576396,GSM3576396,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576397,GSM3576397,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576398,GSM3576398,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576399,GSM3576399,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576400,GSM3576400,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576401,GSM3576401,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576402,GSM3576402,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576403,GSM3576403,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576404,GSM3576404,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576405,GSM3576405,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576406,GSM3576406,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576407,GSM3576407,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576408,GSM3576408,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576409,GSM3576409,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576410,GSM3576410,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576411,GSM3576411,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576412,GSM3576412,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576413,GSM3576413,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576414,GSM3576414,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576415,GSM3576415,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576416,GSM3576416,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576417,GSM3576417,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576418,GSM3576418,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576419,GSM3576419,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576420,GSM3576420,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576421,GSM3576421,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576422,GSM3576422,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576423,GSM3576423,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576424,GSM3576424,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576425,GSM3576425,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576426,GSM3576426,10x 5',vdj,unspecified_ab_or_gd,true,Ileum immune cell; cell subtype: immune cells
GSE125527,GSM3576427,GSM3576427,10x 5',vdj,unspecified_ab_or_gd,true,Ileum immune cell; cell subtype: immune cells
GSE125527,GSM3576428,GSM3576428,10x 5',vdj,unspecified_ab_or_gd,true,Ileum immune cell; cell subtype: immune cells
GSE125527,GSM3576429,GSM3576429,10x 5',vdj,unspecified_ab_or_gd,true,Ileum immune cell; cell subtype: immune cells
GSE125527,GSM3576430,GSM3576430,10x 5',vdj,unspecified_ab_or_gd,true,Ileum immune cell; cell subtype: immune cells
GSE125527,GSM3576431,GSM3576431,10x 5',vdj,unspecified_ab_or_gd,true,Ileum immune cell; cell subtype: immune cells
GSE125527,GSM3576432,GSM3576432,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576433,GSM3576433,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576434,GSM3576434,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576435,GSM3576435,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576436,GSM3576436,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576437,GSM3576437,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576438,GSM3576438,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576439,GSM3576439,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576440,GSM3576440,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576441,GSM3576441,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576442,GSM3576442,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576443,GSM3576443,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576444,GSM3576444,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576445,GSM3576445,10x 5',vdj,unspecified_ab_or_gd,true,Rectum immune cell; cell subtype: immune cells
GSE125527,GSM3576446,GSM3576446,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576447,GSM3576447,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576448,GSM3576448,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576449,GSM3576449,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576450,GSM3576450,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576451,GSM3576451,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
GSE125527,GSM3576452,GSM3576452,10x 5',vdj,unspecified_ab_or_gd,true,Blood immune cell; cell subtype: immune cells
