project_id,gse,library_id,platform_id,sample_type,donor_patient,technology_simple,tcr_vdj_flag,matrix_file,library_index
GSE125527,GSE125527,GSM3576396,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,1
GSE125527,GSE125527,GSM3576397,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,2
GSE125527,GSE125527,GSM3576398,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,3
GSE125527,GSE125527,GSM3576399,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,4
GSE125527,GSE125527,GSM3576400,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,5
GSE125527,GSE125527,GSM3576401,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,6
GSE125527,GSE125527,GSM3576402,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,7
GSE125527,GSE125527,GSM3576403,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,8
GSE125527,GSE125527,GSM3576404,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,9
GSE125527,GSE125527,GSM3576405,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,10
GSE125527,GSE125527,GSM3576406,GPL20301,Rectum immune cell; cell subtype: immune cells,,10x 5',with TCR/VDJ,downloads/GSE125527/matrix/GSE125527-GPL20301_series_matrix.txt.gz,11
