sequence,operation,dataset_id,role,old_path,new_path,expected_kind,device,inode,size_bytes,mtime_ns
1,root_alias,,top_level_legacy_root_alias,downloads,data/compat/downloads,directory,62,24682416,12288,1784109490458388713
2,root_alias,,top_level_legacy_root_alias,analysis_26GSE_V4,data/compat/analysis_26GSE_V4,directory,62,24938282,4096,1784109350814789368
3,root_alias,,top_level_legacy_root_alias,newdata,data/compat/newdata,directory,62,24969494,12288,1776184032165908849
4,move_and_link,GSE123813,legacy_download_source_bundle,downloads/GSE123813,data/datasets/GSE123813/raw/legacy_source,directory,62,24973214,4096,1770835374135926619
5,move_and_link,GSE125527,legacy_download_source_bundle,downloads/GSE125527,data/datasets/GSE125527/raw/legacy_source,directory,62,24973304,4096,1770836346952213419
6,move_and_link,GSE139555,legacy_download_source_bundle,downloads/GSE139555,data/datasets/GSE139555/raw/legacy_source,directory,62,24973183,4096,1770834130939773782
7,move_and_link,GSE144469,legacy_download_source_bundle,downloads/GSE144469,data/datasets/GSE144469/raw/legacy_source,directory,62,24973125,4096,1774613222817090196
8,move_and_link,GSE145926,legacy_download_source_bundle,downloads/GSE145926,data/datasets/GSE145926/raw/legacy_source,directory,62,24973177,4096,1770834109628690603
9,move_and_link,GSE149298,legacy_download_source_bundle,downloads/GSE149298,data/datasets/GSE149298/raw/legacy_source,directory,62,24973170,4096,1770834102660663731
10,move_and_link,GSE155222,legacy_download_source_bundle,downloads/GSE155222,data/datasets/GSE155222/raw/legacy_source,directory,62,24973067,4096,1773748287736383598
11,move_and_link,GSE155223,legacy_download_source_bundle,downloads/GSE155223,data/datasets/GSE155223/raw/legacy_source,directory,62,24973061,4096,1771263102510825798
12,move_and_link,GSE161918,legacy_download_source_bundle,downloads/GSE161918,data/datasets/GSE161918/raw/legacy_source,directory,62,24973075,4096,1774243654590792798
13,move_and_link,GSE162498,legacy_download_source_bundle,downloads/GSE162498,data/datasets/GSE162498/raw/legacy_source,directory,62,24973112,4096,1771263155014091741
14,move_and_link,GSE162499,legacy_download_source_bundle,downloads/GSE162499,data/datasets/GSE162499/raw/legacy_source,directory,62,24973103,4096,1770832931175379471
15,move_and_link,GSE168163,legacy_download_source_bundle,downloads/GSE168163,data/datasets/GSE168163/raw/legacy_source,directory,62,24973025,4096,1773857872327254121
16,move_and_link,GSE168859,legacy_download_source_bundle,downloads/GSE168859,data/datasets/GSE168859/raw/legacy_source,directory,62,24973019,4096,1774243654592792808
17,move_and_link,GSE169441,legacy_download_source_bundle,downloads/GSE169441,data/datasets/GSE169441/raw/legacy_source,directory,62,24972995,4096,1770831289960048383
18,move_and_link,GSE171037,legacy_download_source_bundle,downloads/GSE171037,data/datasets/GSE171037/raw/legacy_source,directory,62,24973048,4096,1770831579844105603
19,move_and_link,GSE175930,legacy_download_source_bundle,downloads/GSE175930,data/datasets/GSE175930/raw/legacy_source,directory,62,24973041,4096,1770831551534907830
20,move_and_link,GSE178882,legacy_download_source_bundle,downloads/GSE178882,data/datasets/GSE178882/raw/legacy_source,directory,62,24972989,4096,1770831248043743741
21,move_and_link,GSE179994,legacy_download_source_bundle,downloads/GSE179994,data/datasets/GSE179994/raw/legacy_source,directory,62,24973031,4096,1770831502986567305
22,move_and_link,GSE181710,legacy_download_source_bundle,downloads/GSE181710,data/datasets/GSE181710/raw/legacy_source,directory,62,24972909,4096,1770826761239143750
23,move_and_link,GSE188620,legacy_download_source_bundle,downloads/GSE188620,data/datasets/GSE188620/raw/legacy_source,directory,62,24973007,4096,1770831361776565524
24,move_and_link,GSE189126,legacy_download_source_bundle,downloads/GSE189126,data/datasets/GSE189126/raw/legacy_source,directory,62,24973013,4096,1770831427782036048
25,move_and_link,GSE190870,legacy_download_source_bundle,downloads/GSE190870,data/datasets/GSE190870/raw/legacy_source,directory,62,24973298,4096,1773748287739383608
26,move_and_link,GSE198265,legacy_download_source_bundle,downloads/GSE198265,data/datasets/GSE198265/raw/legacy_source,directory,62,24973001,4096,1770831354256511639
27,move_and_link,GSE211504,legacy_download_source_bundle,downloads/GSE211504,data/datasets/GSE211504/raw/legacy_source,directory,62,24972983,4096,1770831219783537065
28,move_and_link,GSE212217,legacy_download_source_bundle,downloads/GSE212217,data/datasets/GSE212217/raw/legacy_source,directory,62,24972966,4096,1770827462161365408
29,move_and_link,GSE221776,legacy_download_source_bundle,downloads/GSE221776,data/datasets/GSE221776/raw/legacy_source,directory,62,24972828,4096,1774243654594792818
30,move_and_link,GSE227709,legacy_download_source_bundle,downloads/GSE227709,data/datasets/GSE227709/raw/legacy_source,directory,62,24972959,4096,1770827441408194929
31,move_and_link,GSE228597,legacy_download_source_bundle,downloads/GSE228597,data/datasets/GSE228597/raw/legacy_source,directory,62,24972745,4096,1770824919638015366
32,move_and_link,GSE229858,legacy_download_source_bundle,downloads/GSE229858,data/datasets/GSE229858/raw/legacy_source,directory,62,24972946,4096,1770827295129977346
33,move_and_link,GSE229860,legacy_download_source_bundle,downloads/GSE229860,data/datasets/GSE229860/raw/legacy_source,directory,62,24972940,4096,1770827289784932265
34,move_and_link,GSE232240,legacy_download_source_bundle,downloads/GSE232240,data/datasets/GSE232240/raw/legacy_source,directory,62,24972925,4096,1773748287739383608
35,move_and_link,GSE234069,legacy_download_source_bundle,downloads/GSE234069,data/datasets/GSE234069/raw/legacy_source,directory,62,24972952,4096,1773748287740383611
36,move_and_link,GSE234352,legacy_download_source_bundle,downloads/GSE234352,data/datasets/GSE234352/raw/legacy_source,directory,62,24972932,4096,1770827272489786074
37,move_and_link,GSE235863,legacy_download_source_bundle,downloads/GSE235863,data/datasets/GSE235863/raw/legacy_source,directory,62,24972701,4096,1770823982689443525
38,move_and_link,GSE240361,legacy_download_source_bundle,downloads/GSE240361,data/datasets/GSE240361/raw/legacy_source,directory,62,24972821,4096,1770826495180308306
