dataset_id,canonical_dataset_path,raw_exists,interim_exists,current_h5ad,legacy_raw_path
GDT_2020AUG_woCOV,data/datasets/GDT_2020AUG_woCOV,true,false,data/datasets/GDT_2020AUG_woCOV/processed/current.h5ad,newdata/Sorted_gdT
GDTlung2023july_7p,data/datasets/GDTlung2023july_7p,true,false,data/datasets/GDTlung2023july_7p/processed/current.h5ad,newdata/Sorted_gdT
GSE123813,data/datasets/GSE123813,true,false,,downloads/GSE123813
GSE125527,data/datasets/GSE125527,true,false,data/datasets/GSE125527/processed/current.h5ad,downloads/GSE125527
GSE139555,data/datasets/GSE139555,true,true,data/datasets/GSE139555/processed/current.h5ad,downloads/GSE139555
GSE144469,data/datasets/GSE144469,true,true,data/datasets/GSE144469/processed/current.h5ad,downloads/GSE144469
GSE145926,data/datasets/GSE145926,true,true,data/datasets/GSE145926/processed/current.h5ad,downloads/GSE145926
GSE149298,data/datasets/GSE149298,true,false,,downloads/GSE149298
GSE155222,data/datasets/GSE155222,true,true,data/datasets/GSE155222/processed/current.h5ad,downloads/GSE155222
GSE155223,data/datasets/GSE155223,true,true,data/datasets/GSE155223/processed/current.h5ad,downloads/GSE155223
GSE161918,data/datasets/GSE161918,true,true,data/datasets/GSE161918/processed/current.h5ad,downloads/GSE161918
GSE162498,data/datasets/GSE162498,true,true,data/datasets/GSE162498/processed/current.h5ad,downloads/GSE162498
GSE162499,data/datasets/GSE162499,true,false,,downloads/GSE162499
GSE168163,data/datasets/GSE168163,true,false,data/datasets/GSE168163/processed/current.h5ad,downloads/GSE168163
GSE168859,data/datasets/GSE168859,true,false,data/datasets/GSE168859/processed/current.h5ad,downloads/GSE168859
GSE169441,data/datasets/GSE169441,true,false,,downloads/GSE169441
GSE171037,data/datasets/GSE171037,true,true,data/datasets/GSE171037/processed/current.h5ad,downloads/GSE171037
GSE175930,data/datasets/GSE175930,true,false,,downloads/GSE175930
GSE178882,data/datasets/GSE178882,true,true,data/datasets/GSE178882/processed/current.h5ad,downloads/GSE178882
GSE179994,data/datasets/GSE179994,true,false,data/datasets/GSE179994/processed/current.h5ad,downloads/GSE179994
GSE181710,data/datasets/GSE181710,true,false,,downloads/GSE181710
