old_path,new_path,category,reason,operation,status,sha256,recorded_at
h5ad.csv,configs/datasets/integration_inputs.csv,dataset_registry,Canonical Phase 0 input registry,apply,moved,a6649bc3689751a1f8e2644bea17213537ca83dcb80eadae7a7eed61adba3607,2026-07-15T18:00:29.947377+08:00
sample_information_final_full.csv,configs/datasets/sample_information_final_full.csv,dataset_registry,Canonical library-level source manifest,apply,moved,d49b989c5eff2c1513bf7010c0672dab4e86fbcabe317840faee7c7c9f6354be,2026-07-15T18:00:29.966867+08:00
total_meta_downsample_v3.csv,data/registry/metadata_review/total_meta_downsample_v3.csv,metadata_review,Review-only metadata sample,apply,moved,1194374b51271cf524faf78161a6cb9a308ca8abbe1a9b5e83943ab6f0ad74be,2026-07-15T18:00:29.975102+08:00
geo_scRNA_scTCR_tcell_human_donor10_PASS_STRONG.xlsx,data/raw/local/project_metadata/geo_scRNA_scTCR_tcell_human_donor10_PASS_STRONG.xlsx,raw_metadata,Original project-level source workbook,apply,moved,40573f6765d4a17ee55c31283d77e329ba931e4f0dec408ae00d2bdbe3ef7f87,2026-07-15T18:00:29.979571+08:00
gdt_tcr_module_sharing_package_full.zip,data/raw/local/reference_packages/gdt_tcr_module_sharing_package_full.zip,raw_reference,Original shared scoring package,apply,moved,e6e1e485742de4e2bd4ba9e48f851b2cce622a299c615440eef08b1a877cb8ef,2026-07-15T18:00:30.321099+08:00
disease_status_correction_rules.json,configs/metadata/disease_status_correction_rules.json,configuration,Metadata correction rules,apply,moved,8a9b062eba039894763fa4f61a458f4fe46b4236f1dcc3e13956da06f2493d02,2026-07-15T18:00:30.333375+08:00
tissue_correction_rules.json,configs/metadata/tissue_correction_rules.json,configuration,Metadata correction rules,apply,moved,8bef21ba93a752927b954ca60e91c55d37268875f8aaa5191bfabc19534a3f4a,2026-07-15T18:00:30.346440+08:00
meta_harmonization.json,configs/metadata/meta_harmonization.json,configuration,Metadata harmonization rules,apply,moved,1af8355adae6d5a6b2a6e864b908e793381a55a08d8c96a36ab4130b8f83dd0d,2026-07-15T18:00:30.365297+08:00
gdt_atlas_literature_marker_programs.json,configs/gdt_atlas/literature_marker_programs.json,configuration,gdT atlas marker programs,apply,moved,6a8c7c472cda760350790ffe3bc98160cf58fad75c7c86d2f5ac4791334b582d,2026-07-15T18:00:30.381411+08:00
gdt_atlas_metadata_rules.json,configs/gdt_atlas/metadata_rules.json,configuration,gdT atlas metadata rules,apply,moved,aaa3dd6d0a38a08c88517212919a3511b631f057464c01190997b87d4530b458,2026-07-15T18:00:30.396202+08:00
gdt_atlas_phenotype_marker_panels.json,configs/gdt_atlas/phenotype_marker_panels.json,configuration,gdT atlas phenotype panels,apply,moved,bb9a5c003bee6902a4f7fa29b9f1fcd68a1abb6b96556bf618d81563ea30bd4b,2026-07-15T18:00:30.413943+08:00
tcr_integration_workflow.json,configs/tcr/integration_workflow.json,configuration,TCR integration configuration,apply,moved,808950dcc0e3659f9a6d97856bbf2ccd294859728f92181065fcf0f082e791b3,2026-07-15T18:00:30.421369+08:00
supplementary_export_rds_payloads.R,workflows/intake/supplementary_export_rds_payloads.R,intake,Active intake helper belongs with intake workflows,apply,moved,7e126750e1ef7325de7420d2b48258ab5c8a01bc37d386eac6c7365329830c76,2026-07-15T18:00:30.428579+08:00
