old_path,new_path,category,reason,operation,status,sha256,recorded_at
analyze_mait_sample_stratified.py,workflows/analysis/analyze_mait_sample_stratified.py,analysis,Post-Phase-4 focused analysis,apply,moved,4e39c53088848812017415c80a6993f9806723b8b6d73eaad1daebfed8b52056,2026-07-15T17:48:38.850730+08:00
analyze_paired_vs_no_trab_marker_expression.py,workflows/analysis/analyze_paired_vs_no_trab_marker_expression.py,analysis,Post-Phase-4 focused analysis,apply,moved,4df6de21ab2899b010fc366566d42b73c8a5e4e2b1cee675e0124c36d376d430,2026-07-15T17:48:38.868249+08:00
analyze_phase3_leiden_deg_and_gdt_enrichment.py,workflows/analysis/analyze_phase3_leiden_deg_and_gdt_enrichment.py,analysis,Post-Phase-4 focused analysis,apply,moved,1840459d68b2af83adc4c09bde56fb346b6eb00a5b906076e7aa4fe61598472d,2026-07-15T17:48:38.884906+08:00
analyze_trd_positive_negative_pseudobulk_deg.py,workflows/analysis/analyze_trd_positive_negative_pseudobulk_deg.py,analysis,Post-Phase-4 focused analysis,apply,moved,ffe1a4386efff89817a4f80d041d102e6cd70013b1338fc3c990abad4accb83a,2026-07-15T17:48:38.903447+08:00
audit_premerge_gse_tcr_score_scatter.py,workflows/analysis/audit_premerge_gse_tcr_score_scatter.py,analysis,Pre-merge audit,apply,moved,92e71b2871a22a65e4373d3f5a13eb6acd8eae16c0b8d93c22427dc1a4783791,2026-07-15T17:48:38.926264+08:00
build_gdtai_overview_report.py,workflows/gdtai/build_gdtai_overview_report.py,gdtai,gdTAI report workflow,apply,moved,4d1d1e282ec76de0aca22ccc4292b84fcc0bba9eccd92e0d905c30c7d4b70717,2026-07-15T17:48:38.946650+08:00
build_phase3_phase4_training_report.py,workflows/reporting/build_phase3_phase4_training_report.py,reporting,Phase report workflow,apply,moved,3c07424adf896134cb3adb9174d23a6d56bcfef7d9cc5f82be7afe22d7d83c3a,2026-07-15T17:48:38.962300+08:00
build_plus6_gdt_report_assets.py,workflows/reporting/build_extended_atlas_gdt_report_assets.py,reporting,Retire ambiguous plus6 entrypoint name,apply,moved,33f3d6ee67c02d9bb4b81719e23e688302249f79d568faabcdf9f5fa809a8d02,2026-07-15T17:48:38.978790+08:00
compare_gdtai_latest_vs_v2_high_purity.py,workflows/gdtai/compare_gdtai_latest_vs_v2_high_purity.py,gdtai,gdTAI comparison workflow,apply,moved,12a2f8de63b472db02f63f8ee767c27bb4095d9a761fb6d95808231655214f8a,2026-07-15T17:48:38.993033+08:00
disease_status_correction_workflow.py,workflows/metadata/disease_status_correction_workflow.py,metadata,Metadata harmonization,apply,moved,d313da6846997d58c7a1ff0746fa2c943aa702e89f385affdd0b9953557d2cf1,2026-07-15T17:48:39.009998+08:00
phase0_dataset_audit.py,workflows/integration/phase0_dataset_audit.py,integration,Canonical Phase 0,apply,moved,681e0e1ce57cf190fcd200c539bb1dfc11b297156c79431685a7e2afc8ca27b1,2026-07-15T17:48:39.024595+08:00
phase1_extract_tnk_candidates.py,workflows/integration/phase1_extract_tnk_candidates.py,integration,Canonical Phase 1,apply,moved,254565e52e635f86a0e309115d1ff3957125fe241c3b6392601e9dbd62b9ba7f,2026-07-15T17:48:39.046681+08:00
phase1_finalize_from_temp.py,workflows/integration/phase1_finalize_from_temp.py,integration,Canonical Phase 1,apply,moved,f225ec687a188a1f157feb1f65cd37a2d56704b2dc45c711e3facd7e3b23b97b,2026-07-15T17:48:39.051355+08:00
phase1b_conservative_cleanup.py,workflows/integration/phase1b_conservative_cleanup.py,integration,Canonical Phase 1b,apply,moved,94ad5d981b516a0d1cc20402a4124ec517990aea751f78199d90faca4445ca52,2026-07-15T17:48:39.069293+08:00
phase1c_replace_harmonized_metadata.py,workflows/integration/phase1c_replace_harmonized_metadata.py,integration,Canonical Phase 1c,apply,moved,3c91cc66ba19a5298dd976d3e74a7b8bc7518edd66a3a0779e68aa8f03f26303,2026-07-15T17:48:39.091757+08:00
phase2_merged_cleanup.py,workflows/integration/phase2_merged_cleanup.py,integration,Canonical Phase 2,apply,moved,16ea6745ffb3174336f1a56909447b4974db2cf228d5f1c2836f8014bc717e72,2026-07-15T17:48:39.110971+08:00
phase3_scvi_scanvi.py,workflows/integration/phase3_scvi_scanvi.py,integration,Canonical Phase 3,apply,moved,e8e28581bb80c7cc22dacd15dbb3608128164fe9dbe0e321e0a63740e1098823,2026-07-15T17:48:39.124715+08:00
phase3_scvi_scanvi_diagnostic.py,workflows/integration/phase3_scvi_scanvi_diagnostic.py,integration,Phase 3 diagnostics,apply,moved,e2fd31c47fa17125a0676dbde65bd96631d2df4204d9eef315fc2a92ab03c022,2026-07-15T17:48:39.145494+08:00
phase4_gdt_module_scoring.py,workflows/integration/phase4_gdt_module_scoring.py,integration,Canonical Phase 4,apply,moved,2580fc0a0ae1574ff685483a33c3b059e63f70af7634b937c1796b81841f3574,2026-07-15T17:48:39.161762+08:00
phase4_score_single_h5ad.py,workflows/intake/phase4_score_single_h5ad.py,intake,Standalone intake scoring,apply,moved,f38e4d1f929065d1b65056508ee43ec91893044998807d320066bf2d4ec44c88,2026-07-15T17:48:39.184678+08:00
plot_current_milestone_dataset_composition.py,workflows/reporting/plot_current_milestone_dataset_composition.py,reporting,Milestone reporting,apply,moved,3a85dd54904543c84232c0be21456c9296c17120a27324b79624c42af7c8e4ec,2026-07-15T17:48:39.199870+08:00
plot_gdt_truth_trd_trab_marker_scatter.py,workflows/gdtai/plot_gdt_truth_trd_trab_marker_scatter.py,gdtai,gdTAI evaluation figure,apply,moved,c832a28b3ec819a7b25a4f0d3c3ed8964d194c537e6f68e74e7fcd2ee9f4def8,2026-07-15T17:48:39.211922+08:00
plot_phase3_tnk_marker_umaps.py,workflows/reporting/plot_phase3_tnk_marker_umaps.py,reporting,Phase 3 reporting,apply,moved,a08682b133001f44e71da6311866d9659ec9ba3a06583ba5660b27d1e5492d20,2026-07-15T17:48:39.232153+08:00
plot_phase4_raw_only_visuals.py,workflows/reporting/plot_phase4_raw_only_visuals.py,reporting,Phase 4 reporting,apply,moved,dad440f731136a94a5e1a3269aa35ef58a7bf6ddbb97236287ef0f645a3233f1,2026-07-15T17:48:39.247796+08:00
plot_phase4_threshold_barplots.py,workflows/integration/plot_phase4_threshold_barplots.py,integration,Canonical Phase 4 companion,apply,moved,2dd0d0c359d9406e880570f53f5f51015e96e3dbdb707558258b74157a833707,2026-07-15T17:48:39.257911+08:00
plot_plus6_newest_cell_type_umap.py,workflows/reporting/plot_extended_atlas_cell_type_umap.py,reporting,Retire ambiguous plus6 entrypoint name,apply,moved,46a35dfedb9c900a028629ce8f370fb896873d848edec675a8bdfbdffa3016c9,2026-07-15T17:48:39.272246+08:00
plot_plus6_sorted_gdt_umap.py,workflows/reporting/plot_extended_atlas_sorted_gdt_umap.py,reporting,Retire ambiguous plus6 entrypoint name,apply,moved,93e121aa5a178f54cb39669f0838e95553d2024ad3637400ff4450629564f951,2026-07-15T17:48:39.292561+08:00
plot_plus6_tcr_pairing_umap.py,workflows/reporting/plot_extended_atlas_tcr_pairing_umap.py,reporting,Retire ambiguous plus6 entrypoint name,apply,moved,70896c8133129270fea8b94af2222cd5077cdc4be212a980b759dec0f1669bd3,2026-07-15T17:48:39.309584+08:00
plot_plus6_tnk_marker_umaps.py,workflows/reporting/plot_extended_atlas_tnk_marker_umaps.py,reporting,Retire ambiguous plus6 entrypoint name,apply,moved,096adf1a32657c16156b03c0fb76dbb7055694cbf30705c4873eefe4bc45bc2c,2026-07-15T17:48:39.329584+08:00
